iter	Logloss
156	0.3615440037
157	0.3610545946
158	0.3604199617
159	0.3598273899
160	0.3591459855
161	0.3581150221
162	0.3574710017
163	0.3565896076
164	0.3555659419
165	0.3544441555
166	0.3540041053
167	0.3529635885
168	0.3523610322
169	0.3517008574
170	0.3510288073
171	0.3504210099
172	0.3496708746
173	0.3490980397
174	0.3486435932
175	0.3482593039
176	0.3474709221
177	0.3462673021
178	0.3454010673
179	0.3449248936
180	0.3442706232
181	0.3435714058
182	0.3430629564
183	0.3424077573
184	0.3419775258
185	0.3411845995
186	0.3401240473
187	0.3396610758
188	0.3385162354
189	0.338136192
190	0.3379081726
191	0.3375825965
192	0.3371592314
193	0.3363442794
194	0.3353242625
195	0.3348418526
196	0.3342112666
197	0.333452374
198	0.3322147535
199	0.3315010403
200	0.3310552182
201	0.3301543194
202	0.3292542831
203	0.3285381151
204	0.3278790018
205	0.3276699564
206	0.3266582323
207	0.3263826121
208	0.3259281324
209	0.3252550871
210	0.3248097295
211	0.3244260042
212	0.3236473747
213	0.3227406377
214	0.3218584144
215	0.3214792003
216	0.3209026834
217	0.3204329449
218	0.3199572688
219	0.3188954229
220	0.3183389415
221	0.3172825689
222	0.317187301
223	0.3164339812
224	0.3155758402
225	0.314425825
226	0.3139037423
227	0.3133964207
228	0.3129118546
229	0.3120954099
230	0.3117119499
231	0.3113492883
232	0.3107107743
233	0.3098850748
234	0.3092307049
235	0.3087680983
236	0.3077952178
237	0.3071510647
238	0.3067208332
239	0.3063466943
240	0.3061260721
241	0.3056095621
242	0.3048373015
243	0.3040635482
244	0.3035626287
245	0.3029710853
246	0.3022031038
247	0.3012077995
248	0.3006929481
249	0.2999944272
250	0.299551856
251	0.2992755724
252	0.2983455824
253	0.2975381602
254	0.2965574182
255	0.2959436168
256	0.2955951193
257	0.2948685356
258	0.2945071013
259	0.2935765805
260	0.2929962822
261	0.2929074163
262	0.292230291
263	0.2918549247
264	0.2913833618
265	0.2909878275
266	0.2902709298
267	0.2896726525
268	0.2890141363
269	0.2881942749
270	0.2875302854
271	0.2867252184
272	0.2862313312
273	0.2859587296
274	0.2854769168
275	0.2849604068
276	0.2845308718
277	0.2839985723
278	0.283431078
279	0.2832215019
280	0.2827547488
281	0.2824257229
282	0.2820923515
283	0.2817863796
284	0.2809244571
285	0.2804483165
286	0.2795497728
287	0.2788826652
288	0.2784369759
289	0.2781345202
290	0.2776917167
291	0.2774198781
292	0.2768101402
293	0.2764035764
294	0.2759070853
295	0.2754665375
296	0.2751555733
297	0.2746966818
298	0.2743642724
299	0.2740765613
300	0.2734585969
301	0.2729598667
302	0.2724347985
303	0.271569194
304	0.2707060772
305	0.2704531131
306	0.270308818
307	0.2695739746
308	0.2690988624
309	0.2686140641
310	0.2680714483
311	0.2676602903
312	0.2672671111
313	0.2667755956
314	0.2665918765
315	0.2663472217
316	0.2662256821
317	0.2657758962
318	0.2655346746
319	0.2648265673
320	0.2643231599
321	0.2636555216
322	0.2634030881
323	0.2629554749
324	0.2627876945
325	0.2620113539
326	0.2615659631
327	0.2610416246
